Region,Country,ItemType,SalesChannel,OrderPriority,OrderID,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Sub-Saharan Africa,Swaziland,Meat,Online,M,947620856,924,421.89,364.69,389826.36,336973.56,52852.8
Asia,Maldives,Vegetables,Online,H,720307290,3789,154.06,90.93,583733.34,344533.77,239199.57
Asia,Thailand,Household,Online,H,352327525,399,668.27,502.54,266639.73,200513.46,66126.27
Sub-Saharan Africa,Sudan,Household,Online,C,585917890,4979,668.27,502.54,3327316.33,2502146.66,825169.67
Central America and the Caribbean,Costa Rica,Meat,Offline,L,433627212,8783,421.89,364.69,3705459.87,3203072.27,502387.6
Europe,Denmark,Beverages,Online,C,328316819,5098,47.45,31.79,241900.1,162065.42,79834.68
Sub-Saharan Africa,Angola,Cereal,Offline,C,773160541,4240,205.7,117.11,872168,496546.4,375621.6
Australia and Oceania,Papua New Guinea,Household,Online,M,991644704,8559,668.27,502.54,5719722.93,4301239.86,1418483.07
Asia,North Korea,Meat,Online,M,277568137,7435,421.89,364.69,3136752.15,2711470.15,425282
Central America and the Caribbean,El Salvador,Fruits,Online,C,245042169,2278,9.33,6.92,21253.74,15763.76,5489.98
Sub-Saharan Africa,Burkina Faso,Household,Online,M,778490626,1531,668.27,502.54,1023121.37,769388.74,253732.63
Middle East and North Africa,Yemen,Baby Food,Online,C,482649838,5668,255.28,159.42,1446927.04,903592.56,543334.48
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,L,732568633,2193,47.45,31.79,104057.85,69715.47,34342.38
Europe,Andorra,Household,Online,M,723608338,642,668.27,502.54,429029.34,322630.68,106398.66
Central America and the Caribbean,Dominican Republic,Household,Offline,H,621442782,7584,668.27,502.54,5068159.68,3811263.36,1256896.32
Middle East and North Africa,Israel,Baby Food,Offline,M,212058293,1616,255.28,159.42,412532.48,257622.72,154909.76
Australia and Oceania,Solomon Islands,Snacks,Offline,L,251753699,8369,152.58,97.44,1276942.02,815475.36,461466.66
Sub-Saharan Africa,Liberia,Fruits,Online,M,217140328,5503,9.33,6.92,51342.99,38080.76,13262.23
Sub-Saharan Africa,Mali,Vegetables,Online,C,555142009,7712,154.06,90.93,1188110.72,701252.16,486858.56
Asia,Uzbekistan,Clothes,Online,C,432995069,1718,109.28,35.84,187743.04,61573.12,126169.92
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,888248336,1276,81.73,56.67,104287.48,72310.92,31976.56
Europe,Vatican City,Vegetables,Online,C,778763139,2173,154.06,90.93,334772.38,197590.89,137181.49
Sub-Saharan Africa,Djibouti,Snacks,Offline,H,832713305,7227,152.58,97.44,1102695.66,704198.88,398496.78
Europe,Ukraine,Household,Offline,M,498585164,1285,668.27,502.54,858726.95,645763.9,212963.05
Australia and Oceania,East Timor,Fruits,Offline,M,195177543,6227,9.33,6.92,58097.91,43090.84,15007.07
Sub-Saharan Africa,Uganda,Cereal,Online,C,861601769,5965,205.7,117.11,1227000.5,698561.15,528439.35
Sub-Saharan Africa,Guinea,Meat,Online,H,807281672,1441,421.89,364.69,607943.49,525518.29,82425.2
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,H,661953580,5629,109.28,35.84,615137.12,201743.36,413393.76
Europe,Malta,Cosmetics,Online,M,225666320,8534,437.2,263.33,3731064.8,2247258.22,1483806.58
Europe,Cyprus,Household,Offline,L,718781220,2191,668.27,502.54,1464179.57,1101065.14,363114.43
Europe,Czech Republic,Office Supplies,Online,L,731972110,5668,651.21,524.96,3691058.28,2975473.28,715585
Middle East and North Africa,Libya,Vegetables,Online,C,276225316,64,154.06,90.93,9859.84,5819.52,4040.32
Asia,Vietnam,Office Supplies,Offline,C,332839667,3509,651.21,524.96,2285095.89,1842084.64,443011.25
Middle East and North Africa,Jordan,Vegetables,Online,C,603426492,6163,154.06,90.93,949471.78,560401.59,389070.19
Sub-Saharan Africa,Mali,Beverages,Offline,H,859909617,5220,47.45,31.79,247689,165943.8,81745.2
Europe,Czech Republic,Household,Online,L,494525372,9902,668.27,502.54,6617209.54,4976151.08,1641058.46
Europe,Slovakia,Vegetables,Online,M,769822585,6465,154.06,90.93,995997.9,587862.45,408135.45
Sub-Saharan Africa,Zimbabwe,Vegetables,Offline,C,768662583,3195,154.06,90.93,492221.7,290521.35,201700.35
Central America and the Caribbean,Honduras,Cereal,Online,M,544219195,5409,205.7,117.11,1112631.3,633447.99,479183.31
Europe,Switzerland,Beverages,Offline,L,669978749,455,47.45,31.79,21589.75,14464.45,7125.3
Sub-Saharan Africa,South Africa,Cosmetics,Offline,L,889740073,2715,437.2,263.33,1186998,714940.95,472057.05
Sub-Saharan Africa,Uganda,Beverages,Online,M,567614495,8598,47.45,31.79,407975.1,273330.42,134644.68
Middle East and North Africa,Iran,Vegetables,Offline,M,938025844,1547,154.06,90.93,238330.82,140668.71,97662.11
Middle East and North Africa,Algeria,Vegetables,Online,C,155710446,7036,154.06,90.93,1083966.16,639783.48,444182.68
Sub-Saharan Africa,Central African Republic,Baby Food,Online,L,945717132,7570,255.28,159.42,1932469.6,1206809.4,725660.2
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,C,253407227,7685,437.2,263.33,3359882,2023691.05,1336190.95
Sub-Saharan Africa,South Africa,Household,Offline,H,494454562,8948,668.27,502.54,5979679.96,4496727.92,1482952.04
Sub-Saharan Africa,Benin,Cereal,Online,M,104845464,4957,205.7,117.11,1019654.9,580514.27,439140.63
Europe,Hungary,Cosmetics,Online,M,290878760,6344,437.2,263.33,2773596.8,1670565.52,1103031.28
Europe,Austria,Office Supplies,Offline,C,979165780,5768,651.21,524.96,3756179.28,3027969.28,728210
Asia,Tajikistan,Office Supplies,Offline,C,366630351,2923,651.21,524.96,1903486.83,1534458.08,369028.75
Europe,Portugal,Office Supplies,Online,C,770508801,9532,651.21,524.96,6207333.72,5003918.72,1203415
Europe,Belgium,Beverages,Offline,M,978349959,4349,47.45,31.79,206360.05,138254.71,68105.34
Europe,Slovenia,Beverages,Offline,L,298015153,8161,47.45,31.79,387239.45,259438.19,127801.26
Europe,Czech Republic,Snacks,Online,M,807678210,8786,152.58,97.44,1340567.88,856107.84,484460.04
Australia and Oceania,Marshall Islands,Personal Care,Offline,C,605825459,6071,81.73,56.67,496182.83,344043.57,152139.26
Sub-Saharan Africa,Sudan,Fruits,Online,C,561255729,6897,9.33,6.92,64349.01,47727.24,16621.77
Central America and the Caribbean,Dominican Republic,Clothes,Online,H,263080346,175,109.28,35.84,19124,6272,12852
Sub-Saharan Africa,Tanzania,Cereal,Offline,C,270723140,1848,205.7,117.11,380133.6,216419.28,163714.32
Europe,Switzerland,Clothes,Offline,H,763920438,9888,109.28,35.84,1080560.64,354385.92,726174.72
North America,Greenland,Household,Online,L,192721068,9302,668.27,502.54,6216247.54,4674627.08,1541620.46
Australia and Oceania,Tonga,Fruits,Offline,L,227486360,7124,9.33,6.92,66466.92,49298.08,17168.84
Middle East and North Africa,Saudi Arabia,Vegetables,Online,M,808890140,7422,154.06,90.93,1143433.32,674882.46,468550.86
Central America and the Caribbean,Belize,Cosmetics,Offline,C,597918736,6296,437.2,263.33,2752611.2,1657925.68,1094685.52
Sub-Saharan Africa,Angola,Cosmetics,Online,H,125870978,6874,437.2,263.33,3005312.8,1810130.42,1195182.38
Asia,Malaysia,Household,Online,H,444358193,4319,668.27,502.54,2886258.13,2170470.26,715787.87
Sub-Saharan Africa,Ethiopia,Beverages,Online,C,875304210,822,47.45,31.79,39003.9,26131.38,12872.52
North America,Greenland,Baby Food,Offline,C,360945355,607,255.28,159.42,154954.96,96767.94,58187.02
Sub-Saharan Africa,Benin,Cereal,Offline,C,613830459,4928,205.7,117.11,1013689.6,577118.08,436571.52
Middle East and North Africa,Yemen,Cereal,Offline,H,266820847,7073,205.7,117.11,1454916.1,828319.03,626597.07
Sub-Saharan Africa,Rwanda,Baby Food,Offline,M,723090350,7358,255.28,159.42,1878350.24,1173012.36,705337.88
Sub-Saharan Africa,Mauritania,Meat,Offline,M,306125295,8132,421.89,364.69,3430809.48,2965659.08,465150.4
Australia and Oceania,New Zealand,Personal Care,Online,L,109724509,8775,81.73,56.67,717180.75,497279.25,219901.5
Australia and Oceania,Samoa ,Clothes,Offline,M,847999322,699,109.28,35.84,76386.72,25052.16,51334.56
Australia and Oceania,Fiji,Clothes,Online,H,605373561,2344,109.28,35.84,256152.32,84008.96,172143.36
Sub-Saharan Africa,Malawi,Beverages,Online,H,686583554,4186,47.45,31.79,198625.7,133072.94,65552.76
Australia and Oceania,Marshall Islands,Beverages,Offline,M,666678130,3729,47.45,31.79,176941.05,118544.91,58396.14
Central America and the Caribbean,Grenada,Baby Food,Online,M,641018617,508,255.28,159.42,129682.24,80985.36,48696.88
Europe,Luxembourg,Meat,Online,C,775278842,1093,421.89,364.69,461125.77,398606.17,62519.6
Sub-Saharan Africa,Zimbabwe,Meat,Offline,M,855445134,4080,421.89,364.69,1721311.2,1487935.2,233376
Asia,China,Vegetables,Online,H,737816321,5100,154.06,90.93,785706,463743,321963
North America,United States of America,Beverages,Online,L,799003732,1815,47.45,31.79,86121.75,57698.85,28422.9
Sub-Saharan Africa,Central African Republic,Vegetables,Online,L,585931193,8916,154.06,90.93,1373598.96,810731.88,562867.08
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Online,M,165835034,3127,154.06,90.93,481745.62,284338.11,197407.51
Central America and the Caribbean,Guatemala,Baby Food,Offline,H,576264083,8203,255.28,159.42,2094061.84,1307722.26,786339.58
Middle East and North Africa,Qatar,Clothes,Offline,L,675079667,9930,109.28,35.84,1085150.4,355891.2,729259.2
Middle East and North Africa,Israel,Personal Care,Online,L,290455615,1126,81.73,56.67,92027.98,63810.42,28217.56
Asia,Thailand,Snacks,Offline,L,670878255,6639,152.58,97.44,1012978.62,646904.16,366074.46
Asia,Singapore,Cereal,Online,M,435146415,8349,205.7,117.11,1717389.3,977751.39,739637.91
Asia,North Korea,Snacks,Online,C,522371423,167,152.58,97.44,25480.86,16272.48,9208.38
Europe,Austria,Office Supplies,Online,L,141977107,3036,651.21,524.96,1977073.56,1593778.56,383295
Asia,Japan,Baby Food,Offline,L,823699796,9929,255.28,159.42,2534675.12,1582881.18,951793.94
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,L,567588317,851,47.45,31.79,40379.95,27053.29,13326.66
Europe,Lithuania,Fruits,Offline,H,594003999,7838,9.33,6.92,73128.54,54238.96,18889.58
Europe,Luxembourg,Baby Food,Offline,H,393620669,9958,255.28,159.42,2542078.24,1587504.36,954573.88
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,H,877424657,8309,437.2,263.33,3632694.8,2188008.97,1444685.83
Europe,Norway,Household,Offline,M,326714789,1021,668.27,502.54,682303.67,513093.34,169210.33
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,M,243102395,8256,9.33,6.92,77028.48,57131.52,19896.96
Australia and Oceania,New Zealand,Household,Offline,L,398511302,7205,668.27,502.54,4814885.35,3620800.7,1194084.65
Europe,Ukraine,Personal Care,Offline,M,185177838,7092,81.73,56.67,579629.16,401903.64,177725.52
Asia,Taiwan,Personal Care,Offline,H,865650832,4173,81.73,56.67,341059.29,236483.91,104575.38
Europe,Italy,Cereal,Offline,C,622791612,6733,205.7,117.11,1384978.1,788501.63,596476.47
Europe,Finland,Personal Care,Online,L,409774005,89,81.73,56.67,7273.97,5043.63,2230.34
Sub-Saharan Africa,Sudan,Office Supplies,Online,H,800084340,1591,651.21,524.96,1036075.11,835211.36,200863.75
Europe,Croatia,Snacks,Offline,M,637521445,5618,152.58,97.44,857194.44,547417.92,309776.52
Sub-Saharan Africa,Mauritania,Beverages,Online,L,186196649,8581,47.45,31.79,407168.45,272789.99,134378.46
Australia and Oceania,New Zealand,Baby Food,Offline,L,680533778,3923,255.28,159.42,1001463.44,625404.66,376058.78
Middle East and North Africa,Pakistan,Beverages,Online,L,275269162,7117,47.45,31.79,337701.65,226249.43,111452.22
Europe,Poland,Household,Online,C,795451629,668,668.27,502.54,446404.36,335696.72,110707.64
Europe,Lithuania,Cereal,Offline,M,986442506,9113,205.7,117.11,1874544.1,1067223.43,807320.67
Middle East and North Africa,Pakistan,Cereal,Offline,M,563915622,4019,205.7,117.11,826708.3,470665.09,356043.21
Australia and Oceania,East Timor,Cosmetics,Offline,C,663857305,8984,437.2,263.33,3927804.8,2365756.72,1562048.08
Australia and Oceania,Marshall Islands,Fruits,Online,L,692566382,4638,9.33,6.92,43272.54,32094.96,11177.58
Central America and the Caribbean,Cuba,Household,Offline,L,576654183,3642,668.27,502.54,2433839.34,1830250.68,603588.66
North America,Greenland,Baby Food,Offline,H,313044536,5689,255.28,159.42,1452287.92,906940.38,545347.54
Europe,Luxembourg,Personal Care,Offline,C,418973767,2503,81.73,56.67,204570.19,141845.01,62725.18
Middle East and North Africa,Israel,Beverages,Online,C,581990706,2838,47.45,31.79,134663.1,90220.02,44443.08
Sub-Saharan Africa,Djibouti,Baby Food,Online,H,109956681,7480,255.28,159.42,1909494.4,1192461.6,717032.8
Europe,Bulgaria,Cereal,Online,L,181045520,4247,205.7,117.11,873607.9,497366.17,376241.73
Asia,Mongolia,Vegetables,Online,C,693743550,2988,154.06,90.93,460331.28,271698.84,188632.44
Central America and the Caribbean,Dominican Republic,Clothes,Offline,L,716849601,582,109.28,35.84,63600.96,20858.88,42742.08
Middle East and North Africa,Yemen,Cosmetics,Online,L,739474999,5940,437.2,263.33,2596968,1564180.2,1032787.8
Australia and Oceania,Federated States of Micronesia,Personal Care,Online,M,421043574,5005,81.73,56.67,409058.65,283633.35,125425.3
Europe,Finland,Personal Care,Online,M,841291654,5751,81.73,56.67,470029.23,325909.17,144120.06
Central America and the Caribbean,The Bahamas,Cereal,Offline,L,450268065,3181,205.7,117.11,654331.7,372526.91,281804.79
Central America and the Caribbean,Grenada,Meat,Online,L,918334138,4334,421.89,364.69,1828471.26,1580566.46,247904.8
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,386163699,3275,421.89,364.69,1381689.75,1194359.75,187330
Central America and the Caribbean,El Salvador,Personal Care,Offline,C,214743077,6103,81.73,56.67,498798.19,345857.01,152941.18
Europe,Sweden,Baby Food,Online,M,935371100,5949,255.28,159.42,1518660.72,948389.58,570271.14
Asia,Turkmenistan,Cosmetics,Offline,H,899659097,7974,437.2,263.33,3486232.8,2099793.42,1386439.38
Europe,Monaco,Vegetables,Online,H,329530894,4369,154.06,90.93,673088.14,397273.17,275814.97
Middle East and North Africa,Turkey,Meat,Online,H,867222821,9359,421.89,364.69,3948468.51,3413133.71,535334.8
Sub-Saharan Africa,Mozambique,Beverages,Online,M,625283706,4199,47.45,31.79,199242.55,133486.21,65756.34
Middle East and North Africa,Yemen,Office Supplies,Offline,C,936574876,2173,651.21,524.96,1415079.33,1140738.08,274341.25
Asia,Philippines,Cereal,Offline,M,504270160,3601,205.7,117.11,740725.7,421713.11,319012.59
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,M,351855885,830,81.73,56.67,67835.9,47036.1,20799.8
Australia and Oceania,Fiji,Snacks,Online,H,673130881,3241,152.58,97.44,494511.78,315803.04,178708.74
Europe,Macedonia,Office Supplies,Offline,H,382206475,2244,651.21,524.96,1461315.24,1178010.24,283305
Middle East and North Africa,Tunisia ,Cereal,Online,H,263506495,6283,205.7,117.11,1292413.1,735802.13,556610.97
Europe,Liechtenstein,Cereal,Offline,L,721767270,5829,205.7,117.11,1199025.3,682634.19,516391.11
Middle East and North Africa,Qatar,Cosmetics,Online,M,432037627,8390,437.2,263.33,3668108,2209338.7,1458769.3
Australia and Oceania,Tonga,Meat,Offline,C,389678895,3499,421.89,364.69,1476193.11,1276050.31,200142.8
Europe,Belgium,Meat,Online,L,760364902,7726,421.89,364.69,3259522.14,2817594.94,441927.2
Sub-Saharan Africa,Chad,Fruits,Offline,C,430081975,9669,9.33,6.92,90211.77,66909.48,23302.29
Asia,Thailand,Baby Food,Online,H,155128943,4957,255.28,159.42,1265422.96,790244.94,475178.02
Europe,Iceland,Clothes,Offline,H,312117135,1251,109.28,35.84,136709.28,44835.84,91873.44
Central America and the Caribbean,Saint Lucia,Meat,Offline,L,447970378,3245,421.89,364.69,1369033.05,1183419.05,185614
Asia,Japan,Cosmetics,Offline,C,629925000,7661,437.2,263.33,3349389.2,2017371.13,1332018.07
Asia,India,Personal Care,Offline,L,995529830,8254,81.73,56.67,674599.42,467754.18,206845.24
Australia and Oceania,Vanuatu,Office Supplies,Online,L,402646195,812,651.21,524.96,528782.52,426267.52,102515
Sub-Saharan Africa,Chad,Meat,Offline,M,479447925,8150,421.89,364.69,3438403.5,2972223.5,466180
Sub-Saharan Africa,Malawi,Cosmetics,Offline,H,674421346,5118,437.2,263.33,2237589.6,1347722.94,889866.66
Europe,Finland,Cosmetics,Online,L,506365287,3596,437.2,263.33,1572171.2,946934.68,625236.52
Middle East and North Africa,Turkey,Clothes,Online,C,914391076,7494,109.28,35.84,818944.32,268584.96,550359.36
Sub-Saharan Africa,South Africa,Meat,Online,L,207922542,7755,421.89,364.69,3271756.95,2828170.95,443586
Europe,Lithuania,Office Supplies,Offline,M,816696012,7353,651.21,524.96,4788347.13,3860030.88,928316.25
Europe,Russia,Beverages,Offline,L,740760314,6293,47.45,31.79,298602.85,200054.47,98548.38
Central America and the Caribbean,The Bahamas,Baby Food,Online,C,300476777,6610,255.28,159.42,1687400.8,1053766.2,633634.6
Central America and the Caribbean,The Bahamas,Snacks,Online,L,786519229,7373,152.58,97.44,1124972.34,718425.12,406547.22
Middle East and North Africa,Turkey,Cosmetics,Offline,C,409873998,9679,437.2,263.33,4231658.8,2548771.07,1682887.73
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,H,151839911,1659,437.2,263.33,725314.8,436864.47,288450.33
Europe,Bulgaria,Vegetables,Online,H,614028298,3473,154.06,90.93,535050.38,315799.89,219250.49
Middle East and North Africa,Iran,Household,Offline,L,668362987,2315,668.27,502.54,1547045.05,1163380.1,383664.95
Sub-Saharan Africa,Ghana,Household,Online,M,607080304,7408,668.27,502.54,4950544.16,3722816.32,1227727.84
Sub-Saharan Africa,Malawi,Baby Food,Online,M,792729079,5006,255.28,159.42,1277931.68,798056.52,479875.16
Sub-Saharan Africa,Zimbabwe,Baby Food,Offline,M,308170640,3395,255.28,159.42,866675.6,541230.9,325444.7
Asia,Tajikistan,Vegetables,Online,H,106578814,7894,154.06,90.93,1216149.64,717801.42,498348.22
Europe,Czech Republic,Cereal,Online,H,761439931,5851,205.7,117.11,1203550.7,685210.61,518340.09
Sub-Saharan Africa,Mauritius ,Household,Online,L,216552817,1646,668.27,502.54,1099972.42,827180.84,272791.58
Sub-Saharan Africa,Lesotho,Fruits,Online,H,536028802,1689,9.33,6.92,15758.37,11687.88,4070.49
Sub-Saharan Africa,Mali,Beverages,Online,L,254291713,9424,47.45,31.79,447168.8,299588.96,147579.84
Europe,Georgia,Personal Care,Online,C,226077878,323,81.73,56.67,26398.79,18304.41,8094.38
Europe,Albania,Office Supplies,Offline,M,476436126,6892,651.21,524.96,4488139.32,3618024.32,870115
Europe,Cyprus,Cosmetics,Offline,L,650727784,3667,437.2,263.33,1603212.4,965631.11,637581.29
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,C,464626681,2215,668.27,502.54,1480218.05,1113126.1,367091.95
Middle East and North Africa,Tunisia ,Meat,Offline,C,154119145,6135,421.89,364.69,2588295.15,2237373.15,350922
Central America and the Caribbean,Cuba,Meat,Online,M,925504004,6057,421.89,364.69,2555387.73,2208927.33,346460.4
Australia and Oceania,Kiribati,Cereal,Offline,L,905392587,4641,205.7,117.11,954653.7,543507.51,411146.19
Asia,Cambodia,Snacks,Online,C,990708720,1581,152.58,97.44,241228.98,154052.64,87176.34
Europe,Moldova ,Baby Food,Online,M,798688733,8600,255.28,159.42,2195408,1371012,824396
Asia,Uzbekistan,Cereal,Offline,C,916881453,4452,205.7,117.11,915776.4,521373.72,394402.68
Asia,India,Cosmetics,Offline,L,653148210,9924,437.2,263.33,4338772.8,2613286.92,1725485.88
Europe,Germany,Personal Care,Offline,C,285662829,2834,81.73,56.67,231622.82,160602.78,71020.04
Europe,Austria,Vegetables,Online,C,612911641,3030,154.06,90.93,466801.8,275517.9,191283.9
Europe,Germany,Office Supplies,Offline,L,703693473,7391,651.21,524.96,4813093.11,3879979.36,933113.75
Asia,Bhutan,Clothes,Online,M,147119653,4829,109.28,35.84,527713.12,173071.36,354641.76
Asia,Kyrgyzstan,Fruits,Online,C,402614009,1287,9.33,6.92,12007.71,8906.04,3101.67
Middle East and North Africa,Somalia,Personal Care,Online,C,749912869,4738,81.73,56.67,387236.74,268502.46,118734.28
Central America and the Caribbean,Saint Lucia,Household,Online,H,539065062,186,668.27,502.54,124298.22,93472.44,30825.78
Europe,Armenia,Snacks,Offline,H,540431916,4668,152.58,97.44,712243.44,454849.92,257393.52
North America,Canada,Beverages,Online,C,694687259,2252,47.45,31.79,106857.4,71591.08,35266.32
Sub-Saharan Africa,Burundi,Cosmetics,Offline,H,562817418,9036,437.2,263.33,3950539.2,2379449.88,1571089.32
Europe,Liechtenstein,Cereal,Online,L,676121222,8149,205.7,117.11,1676249.3,954329.39,721919.91
Middle East and North Africa,Tunisia ,Snacks,Offline,L,286210000,4754,152.58,97.44,725365.32,463229.76,262135.56
Middle East and North Africa,Iraq,Beverages,Online,L,515007579,1042,47.45,31.79,49442.9,33125.18,16317.72
Asia,Indonesia,Cosmetics,Offline,C,304750287,1237,437.2,263.33,540816.4,325739.21,215077.19
Asia,Kazakhstan,Beverages,Online,H,467986953,6594,47.45,31.79,312885.3,209623.26,103262.04
Europe,Denmark,Beverages,Offline,C,537578904,399,47.45,31.79,18932.55,12684.21,6248.34
Europe,Luxembourg,Vegetables,Offline,L,116699969,2969,154.06,90.93,457404.14,269971.17,187432.97
Sub-Saharan Africa,Cape Verde,Snacks,Offline,C,228836476,6653,152.58,97.44,1015114.74,648268.32,366846.42
Australia and Oceania,Palau,Vegetables,Offline,C,167787253,832,154.06,90.93,128177.92,75653.76,52524.16
Australia and Oceania,Australia,Vegetables,Online,M,647663629,6915,154.06,90.93,1065324.9,628780.95,436543.95
Central America and the Caribbean,Nicaragua,Meat,Offline,L,652889430,3346,421.89,364.69,1411643.94,1220252.74,191391.2
Asia,Laos,Office Supplies,Offline,M,588200986,598,651.21,524.96,389423.58,313926.08,75497.5
Central America and the Caribbean,Cuba,Personal Care,Online,L,928647124,6176,81.73,56.67,504764.48,349993.92,154770.56
Europe,Moldova ,Cosmetics,Offline,L,869589173,9615,437.2,263.33,4203678,2531917.95,1671760.05
Middle East and North Africa,Syria,Household,Online,C,576700961,7485,668.27,502.54,5002000.95,3761511.9,1240489.05
Central America and the Caribbean,The Bahamas,Cereal,Offline,M,735968816,8382,205.7,117.11,1724177.4,981616.02,742561.38
Europe,Belarus,Snacks,Offline,M,303691565,7938,152.58,97.44,1211180.04,773478.72,437701.32
Middle East and North Africa,United Arab Emirates,Clothes,Offline,C,556480538,3812,109.28,35.84,416575.36,136622.08,279953.28
Sub-Saharan Africa,Angola,Beverages,Offline,H,141259562,698,47.45,31.79,33120.1,22189.42,10930.68
Central America and the Caribbean,Cuba,Cosmetics,Offline,C,925264966,5320,437.2,263.33,2325904,1400915.6,924988.4
Europe,Ukraine,Office Supplies,Online,H,346045577,1431,651.21,524.96,931881.51,751217.76,180663.75
Sub-Saharan Africa,Mozambique,Fruits,Offline,H,861462724,4818,9.33,6.92,44951.94,33340.56,11611.38
Europe,Armenia,Personal Care,Online,M,499690234,8299,81.73,56.67,678277.27,470304.33,207972.94
North America,Greenland,Clothes,Online,H,509214437,6722,109.28,35.84,734580.16,240916.48,493663.68
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,M,408834159,1968,651.21,524.96,1281581.28,1033121.28,248460
Europe,Vatican City,Beverages,Offline,M,237660729,7946,47.45,31.79,377037.7,252603.34,124434.36
Europe,Ukraine,Clothes,Online,C,105117976,5600,109.28,35.84,611968,200704,411264
Sub-Saharan Africa,Niger,Cereal,Offline,L,640942227,7903,205.7,117.11,1625647.1,925520.33,700126.77
Asia,Myanmar,Cosmetics,Online,L,745182311,4860,437.2,263.33,2124792,1279783.8,845008.2
Sub-Saharan Africa,Guinea,Baby Food,Offline,C,738199555,8508,255.28,159.42,2171922.24,1356345.36,815576.88
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,L,110667788,7913,152.58,97.44,1207365.54,771042.72,436322.82
Sub-Saharan Africa,South Sudan,Office Supplies,Online,C,673573338,4174,651.21,524.96,2718150.54,2191183.04,526967.5
Middle East and North Africa,Turkey,Snacks,Offline,H,708215034,5421,152.58,97.44,827136.18,528222.24,298913.94
Australia and Oceania,Palau,Household,Online,M,816204202,1816,668.27,502.54,1213578.32,912612.64,300965.68
Europe,Poland,Beverages,Offline,L,769464671,550,47.45,31.79,26097.5,17484.5,8613
Asia,Malaysia,Beverages,Offline,L,860232770,848,47.45,31.79,40237.6,26957.92,13279.68
North America,United States of America,Personal Care,Offline,C,551057326,8963,81.73,56.67,732545.99,507933.21,224612.78
Europe,Switzerland,Cosmetics,Online,C,724799668,3183,437.2,263.33,1391607.6,838179.39,553428.21
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,H,534633624,8825,437.2,263.33,3858290,2323887.25,1534402.75
Sub-Saharan Africa,Namibia,Beverages,Offline,H,554045522,3237,47.45,31.79,153595.65,102904.23,50691.42
Europe,Ireland,Clothes,Online,C,526834189,799,109.28,35.84,87314.72,28636.16,58678.56
Sub-Saharan Africa,Mozambique,Household,Online,C,717110955,7922,668.27,502.54,5294034.94,3981121.88,1312913.06
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Offline,L,559299647,8049,255.28,159.42,2054748.72,1283171.58,771577.14
North America,United States of America,Meat,Online,M,908136594,6654,421.89,364.69,2807256.06,2426647.26,380608.8
Middle East and North Africa,Azerbaijan,Office Supplies,Offline,M,888670623,6240,651.21,524.96,4063550.4,3275750.4,787800
Europe,Belgium,Office Supplies,Offline,C,146263062,1345,651.21,524.96,875877.45,706071.2,169806.25
Asia,Taiwan,Office Supplies,Offline,L,196587741,3536,651.21,524.96,2302678.56,1856258.56,446420
Central America and the Caribbean,Panama,Baby Food,Online,M,375630986,6411,255.28,159.42,1636600.08,1022041.62,614558.46
Europe,Andorra,Beverages,Offline,H,989691627,600,47.45,31.79,28470,19074,9396
Europe,Georgia,Household,Offline,H,165380990,8765,668.27,502.54,5857386.55,4404763.1,1452623.45
Central America and the Caribbean,Barbados,Snacks,Online,C,599622905,597,152.58,97.44,91090.26,58171.68,32918.58
Europe,Sweden,Personal Care,Offline,C,109653699,7821,81.73,56.67,639210.33,443216.07,195994.26
Middle East and North Africa,Algeria,Meat,Offline,M,183022201,9191,421.89,364.69,3877590.99,3351865.79,525725.2
Europe,Italy,Personal Care,Online,L,127589738,5494,81.73,56.67,449024.62,311344.98,137679.64
Europe,Russia,Fruits,Offline,L,221530139,4546,9.33,6.92,42414.18,31458.32,10955.86
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,M,363329732,6197,651.21,524.96,4035548.37,3253177.12,782371.25
Middle East and North Africa,Jordan,Fruits,Online,C,521787345,7325,9.33,6.92,68342.25,50689,17653.25
Sub-Saharan Africa,Mali,Meat,Online,L,286014306,6844,421.89,364.69,2887415.16,2495938.36,391476.8
Middle East and North Africa,Somalia,Cereal,Offline,C,215434443,694,205.7,117.11,142755.8,81274.34,61481.46
Middle East and North Africa,Kuwait,Snacks,Online,L,489784085,6850,152.58,97.44,1045173,667464,377709
